"Strain","maxProb","minProb","meanProb","medianProb","count"
"LBRI 48",0.6005291005291,0.594240837696335,0.596336925307257,0.594240837696335,3
"TAU SL-30-1-4",0.600325379609544,0.600325379609544,0.600325379609544,0.600325379609544,1
"AWQC 131C",0.598214285714285,0.574906367041198,0.585585664615201,0.582764705882353,8
"XSPORK2A",0.587434554973822,0.4204475781729,0.511252043903072,0.572002772002772,13
"EAWAG 122b",0.583815028901734,0.211864406779661,0.309071725725342,0.248002142423783,8
"78-12A",0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,1
"HI09-1",0.583061889250814,0.39257555847569,0.475066834241897,0.402956989247312,7
"[Cylindrospermopsis raciborskii]T3",0.582920792079208,0.582920792079208,0.582920792079208,0.582920792079208,1
"TA04",0.57601880877743,0.57601880877743,0.57601880877743,0.57601880877743,1
"NRC-44h1",0.573863636363636,0.573863636363636,0.573863636363636,0.573863636363636,1
"GO- 25-2",0.563517915309447,0.559322033898305,0.56177998306925,0.5625,3
"ITEP-025",0.555555555555555,0.555555555555555,0.555555555555555,0.555555555555555,1
"ITEP-026",0.555555555555555,0.555555555555555,0.555555555555555,0.555555555555555,1
"UH DO-8-1",0.553639846743295,0.553639846743295,0.553639846743295,0.553639846743295,1
"No 108b",0.436576889661164,0.433624454148472,0.434937791731954,0.434612031386225,3
"UTEX 1519",0.415238954012624,0.415238954012624,0.415238954012624,0.415238954012624,1
"[Fischerella sp.]ATCC 43239 (Stigonematales)",0.41283676703645,0.399665551839465,0.404652092290895,0.401453957996769,3
"UTEX 1903",0.411637931034483,0.366279069767442,0.391794646557926,0.401682439537329,15
"V-3-1",0.411538461538462,0.396946564885496,0.404835480097968,0.405623871459884,6
"PCC 9339",0.40838375108038,0.399561403508772,0.404676400147776,0.405380223000975,4
"UH strain IC-13-1",0.408217716115261,0.408217716115261,0.408217716115261,0.408217716115261,1
"UTEX 1829",0.4072,0.4072,0.4072,0.4072,1
"IL-199-3-1",0.407172995780591,0.370689655172414,0.384880832537456,0.376779846659364,3
"ATCC 43239 (Stigonematales)",0.406611570247934,0.406611570247934,0.406611570247934,0.406611570247934,1
"ATCC 53558",0.40625,0.404205607476635,0.405227803738318,0.405227803738318,2
"PNG",0.383255813953489,0.375133404482391,0.37944330996611,0.379940711462451,3
"UHCC 398",0.379600748596382,0.379600748596382,0.379600748596382,0.379600748596382,1
"IAM M-14",0.379310344827586,0.379310344827586,0.379310344827586,0.379310344827586,1
"PCC 7906",0.379272326350606,0.379272326350606,0.379272326350606,0.379272326350606,1
"MB-K",0.378450106157112,0.04221635883905,0.210333232498081,0.210333232498081,2
"UHCC 0398",0.371483996120271,0.371483996120271,0.371483996120271,0.371483996120271,1
"field sample New Ireland in Papua New Guinea",0.371106337271751,0.371106337271751,0.371106337271751,0.371106337271751,1
"BC-1-2",0.370900209351012,0.353299856527977,0.360845561878779,0.360184528034067,5
"May-96",0.364755425979916,0.355402342274273,0.359095645505964,0.357129168263703,3
"CHARLIE-1",0.362227805695143,0.355034722222222,0.358631263958682,0.358631263958682,2
